date,region,prediction_confirmed,prediction_deaths
2020-05-21,AGO,24,32
2020-05-22,AGO,24,34
2020-05-23,AGO,24,37
2020-05-24,AGO,24,40
2020-05-25,AGO,24,43
2020-05-26,AGO,24,46
2020-05-27,AGO,24,50
2020-05-28,AGO,24,54
2020-05-29,AGO,24,58
2020-05-30,AGO,24,62
2020-05-31,AGO,24,67
2020-06-01,AGO,24,72
2020-06-02,AGO,24,78
2020-06-03,AGO,24,84
2020-06-04,AGO,24,90
2020-06-05,AGO,24,97
2020-06-06,AGO,24,105
2020-06-07,AGO,24,113
2020-06-08,AGO,24,121
2020-06-09,AGO,24,130
2020-06-10,AGO,24,140
2020-06-11,AGO,24,151
2020-06-12,AGO,24,163
2020-06-13,AGO,24,175
2020-06-14,AGO,24,188
2020-06-15,AGO,24,203
2020-06-16,AGO,24,218
2020-06-17,AGO,24,235
2020-06-18,AGO,24,253
2020-06-19,AGO,24,272
2020-06-20,AGO,24,293
2020-06-21,AGO,24,315
2020-06-22,AGO,24,339
2020-06-23,AGO,24,365
2020-06-24,AGO,24,393
2020-06-25,AGO,24,423
2020-06-26,AGO,24,455
2020-06-27,AGO,24,490
2020-06-28,AGO,24,527
2020-06-29,AGO,24,567
2020-06-30,AGO,24,610
2020-07-01,AGO,24,657
2020-07-02,AGO,24,707
2020-07-03,AGO,24,761
2020-07-04,AGO,24,819
2020-07-05,AGO,24,881
2020-07-06,AGO,24,948
2020-07-07,AGO,24,1020
2020-07-08,AGO,24,1098
2020-07-09,AGO,24,1182
2020-07-10,AGO,24,1272
2020-07-11,AGO,24,1368
2020-07-12,AGO,24,1473
2020-07-13,AGO,24,1585
2020-07-14,AGO,24,1705
2020-07-15,AGO,24,1835
2020-07-16,AGO,24,1975
2020-07-17,AGO,24,2125
2020-07-18,AGO,24,2287
2020-07-19,AGO,24,2461
2020-07-20,AGO,24,2649
2020-07-21,AGO,24,2850
2020-07-22,AGO,24,3067
2020-07-23,AGO,24,3301
2020-07-24,AGO,24,3552
2020-07-25,AGO,24,3822
2020-07-26,AGO,24,4113
2020-07-27,AGO,24,4427
2020-07-28,AGO,24,4764
2020-07-29,AGO,24,5126
2020-07-30,AGO,24,5516
2020-07-31,AGO,24,5936
2020-08-01,AGO,24,6388
2020-08-02,AGO,24,6874
2020-08-03,AGO,24,7398
2020-08-04,AGO,24,7961
2020-08-05,AGO,24,8567
2020-08-06,AGO,24,9219
2020-08-07,AGO,24,9921
2020-08-08,AGO,24,10676
2020-08-09,AGO,24,11488
2020-08-10,AGO,24,12363
2020-08-11,AGO,24,13304
2020-08-12,AGO,24,14316
2020-08-13,AGO,24,15406
2020-08-14,AGO,24,16579
2020-08-15,AGO,24,17841
2020-08-16,AGO,24,19199
2020-08-17,AGO,24,20660
2020-08-18,AGO,24,22232
2020-08-19,AGO,24,23925
2020-08-20,AGO,24,25746
2020-08-21,AGO,24,27705
2020-08-22,AGO,24,29814
2020-08-23,AGO,24,32083
2020-08-24,AGO,24,34525
2020-08-25,AGO,24,37153
2020-08-26,AGO,24,39981
2020-08-27,AGO,24,43024
2020-08-28,AGO,24,46299
2020-08-29,AGO,24,49823
2020-08-30,AGO,24,53615
2020-08-31,AGO,24,57696
2020-09-01,AGO,24,62088
2020-09-02,AGO,24,66813
2020-09-03,AGO,24,71899
2020-09-04,AGO,24,77371
2020-09-05,AGO,24,83260
2020-09-06,AGO,24,89597
2020-09-07,AGO,24,96417
2020-09-08,AGO,24,103756
2020-09-09,AGO,24,111653
2020-09-10,AGO,24,120151
2020-09-11,AGO,24,129296
2020-09-12,AGO,24,139138
2020-09-13,AGO,24,149728
2020-09-14,AGO,24,161124
2020-09-15,AGO,24,173388
2020-09-16,AGO,24,186585
2020-09-17,AGO,24,200787
2020-09-18,AGO,24,216069
2020-09-19,AGO,24,232515
2020-09-20,AGO,24,250213
2020-09-21,AGO,24,269257
2020-09-22,AGO,24,289751
2020-09-23,AGO,24,311805
2020-09-24,AGO,24,328662
2020-09-25,AGO,24,328662
2020-09-26,AGO,24,328662
2020-09-27,AGO,24,328662
2020-09-28,AGO,24,328662
2020-09-29,AGO,24,328662
2020-09-30,AGO,24,328662
2020-10-01,AGO,24,328662
2020-10-02,AGO,24,328662
2020-10-03,AGO,24,328662
2020-10-04,AGO,24,328662
2020-10-05,AGO,24,328662
2020-10-06,AGO,24,328662
2020-10-07,AGO,24,328662
2020-10-08,AGO,24,328662
2020-10-09,AGO,24,328662
2020-10-10,AGO,24,328662
2020-10-11,AGO,24,328662
2020-10-12,AGO,24,328662
2020-10-13,AGO,24,328662
2020-10-14,AGO,24,328662
2020-10-15,AGO,24,328662
2020-10-16,AGO,24,328662
2020-10-17,AGO,24,328662
2020-10-18,AGO,24,328662
2020-10-19,AGO,24,328662
2020-10-20,AGO,24,328662
2020-10-21,AGO,24,328662
2020-10-22,AGO,24,328662
2020-10-23,AGO,24,328662
2020-10-24,AGO,24,328662
2020-10-25,AGO,24,328662
2020-10-26,AGO,24,328662
2020-10-27,AGO,24,328662
2020-10-28,AGO,24,328662
2020-10-29,AGO,24,328662
2020-10-30,AGO,24,328662
2020-10-31,AGO,24,328662
2020-11-01,AGO,24,328662
2020-11-02,AGO,24,328662
2020-11-03,AGO,24,328662
2020-11-04,AGO,24,328662
2020-11-05,AGO,24,328662
2020-11-06,AGO,24,328662
2020-11-07,AGO,24,328662
2020-11-08,AGO,24,328662
2020-11-09,AGO,24,328662
2020-11-10,AGO,24,328662
2020-11-11,AGO,24,328662
2020-11-12,AGO,24,328662
2020-11-13,AGO,24,328662
2020-11-14,AGO,24,328662
2020-11-15,AGO,24,328662
2020-11-16,AGO,24,328662
2020-11-17,AGO,24,328662
2020-11-18,AGO,24,328662
2020-11-19,AGO,24,328662
2020-11-20,AGO,24,328662
2020-11-21,AGO,24,328662
2020-11-22,AGO,24,328662
2020-11-23,AGO,24,328662
2020-11-24,AGO,24,328662
2020-11-25,AGO,24,328662
2020-11-26,AGO,24,328662
2020-11-27,AGO,24,328662
2020-11-28,AGO,24,328662
2020-11-29,AGO,24,328662
2020-11-30,AGO,24,328662
2020-12-01,AGO,24,328662
2020-12-02,AGO,24,328662
2020-12-03,AGO,24,328662
2020-12-04,AGO,24,328662
2020-12-05,AGO,24,328662
2020-12-06,AGO,24,328662
2020-12-07,AGO,24,328662
2020-12-08,AGO,24,328662
2020-12-09,AGO,24,328662
2020-12-10,AGO,24,328662
2020-12-11,AGO,24,328662
2020-12-12,AGO,24,328662
2020-12-13,AGO,24,328662
2020-12-14,AGO,24,328662
2020-12-15,AGO,24,328662
2020-12-16,AGO,24,328662
2020-12-17,AGO,24,328662
2020-12-18,AGO,24,328662
2020-12-19,AGO,24,328662
2020-12-20,AGO,24,328662
2020-12-21,AGO,24,328662
2020-12-22,AGO,24,328662
2020-12-23,AGO,24,328662
2020-12-24,AGO,24,328662
2020-12-25,AGO,24,328662
2020-12-26,AGO,24,328662
2020-12-27,AGO,24,328662
2020-12-28,AGO,24,328662
2020-12-29,AGO,24,328662
2020-12-30,AGO,24,328662
2020-12-31,AGO,24,328662
2020-04-14,ALB,489,25
2020-04-15,ALB,504,27
2020-04-16,ALB,519,29
2020-04-17,ALB,535,32
2020-04-18,ALB,551,34
2020-04-19,ALB,567,37
2020-04-20,ALB,585,40
2020-04-21,ALB,602,43
2020-04-22,ALB,620,46
2020-04-23,ALB,646,49
2020-04-24,ALB,670,53
2020-04-25,ALB,695,57
2020-04-26,ALB,719,62
2020-04-27,ALB,750,67
2020-04-28,ALB,781,72
2020-04-29,ALB,802,77
2020-04-30,ALB,822,83
2020-05-01,ALB,832,89
2020-05-02,ALB,887,96
2020-05-03,ALB,889,104
2020-05-04,ALB,814,112
2020-05-05,ALB,830,120
2020-05-06,ALB,846,129
2020-05-07,ALB,862,139
2020-05-08,ALB,878,150
2020-05-09,ALB,894,161
2020-05-10,ALB,909,173
2020-05-11,ALB,925,187
2020-05-12,ALB,941,201
2020-05-13,ALB,956,216
2020-05-14,ALB,972,233
2020-05-15,ALB,987,250
2020-05-16,ALB,1003,270
2020-05-17,ALB,1018,290
2020-05-18,ALB,1034,312
2020-05-19,ALB,1049,336
2020-05-20,ALB,1065,362
2020-05-21,ALB,1080,389
2020-05-22,ALB,1095,419
2020-05-23,ALB,1111,451
2020-05-24,ALB,1126,485
2020-05-25,ALB,1141,522
2020-05-26,ALB,1157,562
2020-05-27,ALB,1172,605
2020-05-28,ALB,1187,651
2020-05-29,ALB,1203,700
2020-05-30,ALB,1218,754
2020-05-31,ALB,1233,811
2020-06-01,ALB,1248,873
2020-06-02,ALB,1264,939
2020-06-03,ALB,1279,1011
2020-06-04,ALB,1294,1088
2020-06-05,ALB,1310,1171
2020-06-06,ALB,1325,1260
2020-06-07,ALB,1340,1356
2020-06-08,ALB,1355,1459
2020-06-09,ALB,1371,1570
2020-06-10,ALB,1386,1690
2020-06-11,ALB,1401,1819
2020-06-12,ALB,1416,1957
2020-06-13,ALB,1432,2106
2020-06-14,ALB,1447,2266
2020-06-15,ALB,1462,2439
2020-06-16,ALB,1477,2624
2020-06-17,ALB,1493,2824
2020-06-18,ALB,1508,3039
2020-06-19,ALB,1523,3271
2020-06-20,ALB,1538,3520
2020-06-21,ALB,1554,3788
2020-06-22,ALB,1569,4076
2020-06-23,ALB,1584,4386
2020-06-24,ALB,1599,4720
2020-06-25,ALB,1615,5079
2020-06-26,ALB,1630,5466
2020-06-27,ALB,1645,5882
2020-06-28,ALB,1660,6330
2020-06-29,ALB,1676,6812
2020-06-30,ALB,1691,7330
2020-07-01,ALB,1706,7888
2020-07-02,ALB,1721,8488
2020-07-03,ALB,1737,9135
2020-07-04,ALB,1752,9830
2020-07-05,ALB,1767,10578
2020-07-06,ALB,1782,11383
2020-07-07,ALB,1798,12250
2020-07-08,ALB,1813,13182
2020-07-09,ALB,1828,14185
2020-07-10,ALB,1843,15265
2020-07-11,ALB,1859,16427
2020-07-12,ALB,1874,17677
2020-07-13,ALB,1889,19023
2020-07-14,ALB,1904,20471
2020-07-15,ALB,1920,22029
2020-07-16,ALB,1935,23706
2020-07-17,ALB,1950,25510
2020-07-18,ALB,1965,27452
2020-07-19,ALB,1981,28777
2020-07-20,ALB,1996,28777
2020-07-21,ALB,2011,28777
2020-07-22,ALB,2026,28777
2020-07-23,ALB,2042,28777
2020-07-24,ALB,2057,28777
2020-07-25,ALB,2072,28777
2020-07-26,ALB,2087,28777
2020-07-27,ALB,2103,28777
2020-07-28,ALB,2118,28777
2020-07-29,ALB,2133,28777
2020-07-30,ALB,2148,28777
2020-07-31,ALB,2164,28777
2020-08-01,ALB,2179,28777
2020-08-02,ALB,2194,28777
2020-08-03,ALB,2209,28777
2020-08-04,ALB,2225,28777
2020-08-05,ALB,2240,28777
2020-08-06,ALB,2255,28777
2020-08-07,ALB,2270,28777
2020-08-08,ALB,2286,28777
2020-08-09,ALB,2301,28777
2020-08-10,ALB,2316,28777
2020-08-11,ALB,2331,28777
2020-08-12,ALB,2347,28777
2020-08-13,ALB,2362,28777
2020-08-14,ALB,2377,28777
2020-08-15,ALB,2392,28777
2020-08-16,ALB,2408,28777
2020-08-17,ALB,2423,28777
2020-08-18,ALB,2438,28777
2020-08-19,ALB,2453,28777
2020-08-20,ALB,2469,28777
2020-08-21,ALB,2484,28777
2020-08-22,ALB,2499,28777
2020-08-23,ALB,2514,28777
2020-08-24,ALB,2530,28777
2020-08-25,ALB,2545,28777
2020-08-26,ALB,2560,28777
2020-08-27,ALB,2575,28777
2020-08-28,ALB,2591,28777
2020-08-29,ALB,2606,28777
2020-08-30,ALB,2621,28777
2020-08-31,ALB,2636,28777
2020-09-01,ALB,2652,28777
2020-09-02,ALB,2667,28777
2020-09-03,ALB,2682,28777
2020-09-04,ALB,2697,28777
2020-09-05,ALB,2713,28777
2020-09-06,ALB,2728,28777
2020-09-07,ALB,2743,28777
2020-09-08,ALB,2758,28777
2020-09-09,ALB,2774,28777
2020-09-10,ALB,2789,28777
2020-09-11,ALB,2804,28777
2020-09-12,ALB,2819,28777
2020-09-13,ALB,2835,28777
2020-09-14,ALB,2850,28777
2020-09-15,ALB,2865,28777
2020-09-16,ALB,2880,28777
2020-09-17,ALB,2896,28777
2020-09-18,ALB,2911,28777
2020-09-19,ALB,2926,28777
2020-09-20,ALB,2941,28777
2020-09-21,ALB,2957,28777
2020-09-22,ALB,2972,28777
2020-09-23,ALB,2987,28777
2020-09-24,ALB,3002,28777
2020-09-25,ALB,3018,28777
2020-09-26,ALB,3033,28777
2020-09-27,ALB,3048,28777
2020-09-28,ALB,3063,28777
2020-09-29,ALB,3079,28777
2020-09-30,ALB,3094,28777
2020-10-01,ALB,3109,28777
2020-10-02,ALB,3124,28777
2020-10-03,ALB,3140,28777
2020-10-04,ALB,3155,28777
2020-10-05,ALB,3170,28777
2020-10-06,ALB,3185,28777
2020-10-07,ALB,3201,28777
2020-10-08,ALB,3216,28777
2020-10-09,ALB,3231,28777
2020-10-10,ALB,3246,28777
2020-10-11,ALB,3262,28777
2020-10-12,ALB,3277,28777
2020-10-13,ALB,3292,28777
2020-10-14,ALB,3307,28777
2020-10-15,ALB,3323,28777
2020-10-16,ALB,3338,28777
2020-10-17,ALB,3353,28777
2020-10-18,ALB,3368,28777
2020-10-19,ALB,3384,28777
2020-10-20,ALB,3399,28777
2020-10-21,ALB,3414,28777
2020-10-22,ALB,3429,28777
2020-10-23,ALB,3445,28777
2020-10-24,ALB,3460,28777
2020-10-25,ALB,3475,28777
2020-10-26,ALB,3490,28777
2020-10-27,ALB,3506,28777
2020-10-28,ALB,3521,28777
2020-10-29,ALB,3536,28777
2020-10-30,ALB,3551,28777
2020-10-31,ALB,3567,28777
2020-11-01,ALB,3582,28777
2020-11-02,ALB,3597,28777
2020-11-03,ALB,3612,28777
2020-11-04,ALB,3628,28777
2020-11-05,ALB,3643,28777
2020-11-06,ALB,3658,28777
2020-11-07,ALB,3673,28777
2020-11-08,ALB,3689,28777
2020-11-09,ALB,3704,28777
2020-11-10,ALB,3719,28777
2020-11-11,ALB,3734,28777
2020-11-12,ALB,3750,28777
2020-11-13,ALB,3765,28777
2020-11-14,ALB,3780,28777
2020-11-15,ALB,3795,28777
2020-11-16,ALB,3811,28777
2020-11-17,ALB,3826,28777
2020-11-18,ALB,3841,28777
2020-11-19,ALB,3856,28777
2020-11-20,ALB,3872,28777
2020-11-21,ALB,3887,28777
2020-11-22,ALB,3902,28777
2020-11-23,ALB,3917,28777
2020-11-24,ALB,3933,28777
2020-11-25,ALB,3948,28777
2020-11-26,ALB,3963,28777
2020-11-27,ALB,3978,28777
2020-11-28,ALB,3994,28777
2020-11-29,ALB,4009,28777
2020-11-30,ALB,4024,28777
2020-12-01,ALB,4039,28777
2020-12-02,ALB,4055,28777
2020-12-03,ALB,4070,28777
2020-12-04,ALB,4085,28777
2020-12-05,ALB,4100,28777
2020-12-06,ALB,4116,28777
2020-12-07,ALB,4131,28777
2020-12-08,ALB,4146,28777
2020-12-09,ALB,4161,28777
2020-12-10,ALB,4177,28777
2020-12-11,ALB,4192,28777
2020-12-12,ALB,4207,28777
2020-12-13,ALB,4222,28777
2020-12-14,ALB,4238,28777
2020-12-15,ALB,4253,28777
2020-12-16,ALB,4268,28777
2020-12-17,ALB,4283,28777
2020-12-18,ALB,4299,28777
2020-12-19,ALB,4314,28777
2020-12-20,ALB,4329,28777
2020-12-21,ALB,4344,28777
2020-12-22,ALB,4360,28777
2020-12-23,ALB,4375,28777
2020-12-24,ALB,4390,28777
2020-12-25,ALB,4405,28777
2020-12-26,ALB,4421,28777
2020-12-27,ALB,4436,28777
2020-12-28,ALB,4451,28777
2020-12-29,ALB,4466,28777
2020-12-30,ALB,4482,28777
2020-12-31,ALB,4497,28777
2020-04-14,AND,676,33
2020-04-15,AND,694,35
2020-04-16,AND,713,38
2020-04-17,AND,732,41
2020-04-18,AND,751,44
2020-04-19,AND,771,48
2020-04-20,AND,792,51
2020-04-21,AND,813,55
2020-04-22,AND,834,59
2020-04-23,AND,732,64
2020-04-24,AND,744,69
2020-04-25,AND,754,74
2020-04-26,AND,772,80
2020-04-27,AND,779,86
2020-04-28,AND,796,93
2020-04-29,AND,803,100
2020-04-30,AND,807,107
2020-05-01,AND,825,116
2020-05-02,AND,851,124
2020-05-03,AND,860,134
2020-05-04,AND,772,144
2020-05-05,AND,776,155
2020-05-06,AND,780,167
2020-05-07,AND,783,180
2020-05-08,AND,787,194
2020-05-09,AND,790,208
2020-05-10,AND,793,224
2020-05-11,AND,797,241
2020-05-12,AND,800,260
2020-05-13,AND,803,279
2020-05-14,AND,807,301
2020-05-15,AND,810,324
2020-05-16,AND,813,348
2020-05-17,AND,817,375
2020-05-18,AND,820,404
2020-05-19,AND,823,434
2020-05-20,AND,827,467
2020-05-21,AND,830,503
2020-05-22,AND,833,541
2020-05-23,AND,836,583
2020-05-24,AND,840,627
2020-05-25,AND,843,675
2020-05-26,AND,846,726
2020-05-27,AND,850,772
2020-05-28,AND,853,772
2020-05-29,AND,856,772
2020-05-30,AND,859,772
2020-05-31,AND,863,772
2020-06-01,AND,866,772
2020-06-02,AND,869,772
2020-06-03,AND,872,772
2020-06-04,AND,876,772
2020-06-05,AND,879,772
2020-06-06,AND,882,772
2020-06-07,AND,885,772
2020-06-08,AND,889,772
2020-06-09,AND,892,772
2020-06-10,AND,895,772
2020-06-11,AND,898,772
2020-06-12,AND,902,772
2020-06-13,AND,905,772
2020-06-14,AND,908,772
2020-06-15,AND,911,772
2020-06-16,AND,915,772
2020-06-17,AND,918,772
2020-06-18,AND,921,772
2020-06-19,AND,924,772
2020-06-20,AND,928,772
2020-06-21,AND,931,772
2020-06-22,AND,934,772
2020-06-23,AND,937,772
2020-06-24,AND,941,772
2020-06-25,AND,944,772
2020-06-26,AND,947,772
2020-06-27,AND,950,772
2020-06-28,AND,954,772
2020-06-29,AND,957,772
